Condition,Method,Deadline (%),Wasted CPU,Cloud (inst-sec),Deadline_Mean,Deadline_CI95,WastedCPU_Mean,WastedCPU_CI95,Cloud_Mean,Cloud_CI95
Stable,Capability only,99.07 ± 0.32,115380 ± 35363,197460,99.07195335618337,0.3248809845832625,115380.0,35363.0063518361,197460.0,52390.7523381751
Stable,Capability + Stability,98.67 ± 0.42,166410 ± 46366,153540,98.67137344526354,0.4171002319366735,166410.0,46366.24734610296,153540.0,45900.40469712658
Stable,Independence replication,98.98 ± 0.38,1484700 ± 105487,109440,98.9845664183285,0.3808195880418671,1484700.0,105487.04704559702,109440.0,28019.4733883419
Stable,Proposed,98.81 ± 0.39,129750 ± 37822,161100,98.81343464501089,0.39404817529105535,129750.0,37821.626924287644,161100.0,43413.9778780982
Moderate,Capability only,99.21 ± 0.33,167700 ± 46466,296130,99.21312603799072,0.32599942571356516,167700.0,46465.726242037796,296130.0,94362.5690273426
Moderate,Capability + Stability,98.91 ± 0.44,176460 ± 40822,212700,98.91029205589267,0.43510132423419584,176460.0,40822.12791317963,212700.0,44527.6456327976
Moderate,Independence replication,98.95 ± 0.39,1367010 ± 103581,100320,98.95294290349707,0.3907115216300887,1367010.0,103581.1341903534,100320.0,28154.797939960426
Moderate,Proposed,98.95 ± 0.41,227340 ± 61106,243660,98.95497200924976,0.4123821383418266,227340.0,61105.796904712726,243660.0,45471.645171029384
High,Capability only,99.17 ± 0.32,187530 ± 40839,309780,99.16527914803856,0.3201141551496411,187530.0,40838.842391037484,309780.0,73223.83723788313
High,Capability + Stability,98.95 ± 0.39,235140 ± 60958,280500,98.95294290349707,0.3907115216300887,235140.0,60957.81502120954,280500.0,51901.22930336043
High,Independence replication,99.04 ± 0.40,1277850 ± 92834,116340,99.04027914803856,0.4029268031202166,1277850.0,92833.56422760035,116340.0,34637.00997719058
High,Proposed,98.94 ± 0.46,724770 ± 261199,287820,98.94094302664362,0.4614334836348653,724770.0,261198.87549191323,287820.0,46036.74102105838
