
================================================================================
Table 1: Main simulation results. Values are mean ± 95% CI.
================================================================================
| Condition   | Method                   | Deadline (%)   | Wasted CPU      | Cloud (inst-sec)   |   Deadline_Mean |   Deadline_CI95 |   WastedCPU_Mean |   WastedCPU_CI95 |   Cloud_Mean |   Cloud_CI95 |
|-------------|--------------------------|----------------|-----------------|--------------------|-----------------|-----------------|------------------|------------------|--------------|--------------|
| Stable      | Capability only          | 99.93 ± 0.13   | 193950 ± 59770  | 1080               |         99.9333 |        0.130667 | 193950           |          59770.3 |         1080 |       2116.8 |
| Stable      | Capability + Stability   | 99.93 ± 0.13   | 130890 ± 20609  | 1050               |         99.9333 |        0.130667 | 130890           |          20609.1 |         1050 |       2058   |
| Stable      | Independence replication | 99.93 ± 0.13   | 1233870 ± 43699 | 1050               |         99.9333 |        0.130667 |      1.23387e+06 |          43699   |         1050 |       2058   |
| Stable      | Proposed                 | 99.80 ± 0.20   | 144510 ± 28411  | 2610               |         99.8    |        0.199597 | 144510           |          28410.8 |         2610 |       5115.6 |
| Moderate    | Capability only          | 100.00 ± 0.00  | 256530 ± 55591  | –                  |        100      |        0        | 256530           |          55591.2 |            0 |          0   |
| Moderate    | Capability + Stability   | 100.00 ± 0.00  | 179850 ± 40658  | –                  |        100      |        0        | 179850           |          40657.5 |            0 |          0   |
| Moderate    | Independence replication | 100.00 ± 0.00  | 1146840 ± 32168 | –                  |        100      |        0        |      1.14684e+06 |          32168.1 |            0 |          0   |
| Moderate    | Proposed                 | 99.73 ± 0.29   | 236280 ± 48040  | 7140               |         99.7333 |        0.288915 | 236280           |          48040.5 |         7140 |      10542.1 |
| High        | Capability only          | 100.00 ± 0.00  | 280170 ± 46285  | –                  |        100      |        0        | 280170           |          46285.1 |            0 |          0   |
| High        | Capability + Stability   | 100.00 ± 0.00  | 218670 ± 41445  | –                  |        100      |        0        | 218670           |          41444.6 |            0 |          0   |
| High        | Independence replication | 100.00 ± 0.00  | 1058370 ± 49025 | –                  |        100      |        0        |      1.05837e+06 |          49024.7 |            0 |          0   |
| High        | Proposed                 | 99.73 ± 0.40   | 552600 ± 139599 | 88740              |         99.7333 |        0.399193 | 552600           |         139599   |        88740 |      45592.6 |
